ADT1_YEAST  0.58  0.61  0.47  0.13  0.50  0.00  0.48  0.22  MIT
ADT2_YEAST  0.43  0.67  0.48  0.27  0.50  0.00  0.53  0.22  MIT
ADT3_YEAST  0.64  0.62  0.49  0.15  0.50  0.00  0.53  0.22  MIT
AAR2_YEAST  0.58  0.44  0.57  0.13  0.50  0.00  0.54  0.22  NUC
AATM_YEAST  0.42  0.44  0.48  0.54  0.50  0.00  0.48  0.22  MIT
AATC_YEAST  0.51  0.40  0.56  0.17  0.50  0.50  0.49  0.22  CYT
ABC1_YEAST  0.50  0.54  0.48  0.65  0.50  0.00  0.53  0.22  MIT
BAF1_YEAST  0.48  0.45  0.59  0.20  0.50  0.00  0.58  0.34  NUC
ABF2_YEAST  0.55  0.50  0.66  0.36  0.50  0.00  0.49  0.22  MIT
ABP1_YEAST  0.40  0.39  0.60  0.15  0.50  0.00  0.58  0.30  CYT
ACE1_YEAST  0.43  0.39  0.54  0.21  0.50  0.00  0.53  0.27  NUC
ACE2_YEAST  0.42  0.37  0.59  0.20  0.50  0.00  0.52  0.29  NUC
ACH1_YEAST  0.40  0.42  0.57  0.35  0.50  0.00  0.53  0.25  CYT
ACON_YEAST  0.60  0.40  0.52  0.46  0.50  0.00  0.53  0.22  MIT
ACR1_YEAST  0.66  0.55  0.45  0.19  0.50  0.00  0.46  0.22  MIT
ACT_YEAST   0.46  0.44  0.52  0.11  0.50  0.00  0.50  0.22  CYT
ACT2_YEAST  0.47  0.39  0.50  0.11  0.50  0.00  0.49  0.40  CYT
ACT3_YEAST  0.58  0.47  0.54  0.11  0.50  0.00  0.51  0.26  NUC
ACT5_YEAST  0.50  0.34  0.55  0.21  0.50  0.00  0.49  0.22  NUC
ADA2_YEAST  0.61  0.60  0.55  0.21  0.50  0.00  0.50  0.25  NUC
C1TC_YEAST  0.45  0.40  0.50  0.16  0.50  0.00  0.50  0.22  CYT
PUR4_YEAST  0.43  0.44  0.48  0.22  0.50  0.00  0.51  0.22  CYT
PUR3_YEAST  0.73  0.63  0.42  0.30  0.50  0.00  0.49  0.22  CYT
ADH1_YEAST  0.43  0.53  0.52  0.13  0.50  0.00  0.55  0.22  CYT
ADH2_YEAST  0.46  0.53  0.52  0.15  0.50  0.00  0.58  0.22  CYT
ADH3_YEAST  0.51  0.51  0.52  0.51  0.50  0.00  0.54  0.22  MIT
ADH4_YEAST  0.59  0.45  0.53  0.19  0.50  0.00  0.59  0.27  CYT
KAD1_YEAST  0.57  0.47  0.60  0.18  0.50  0.00  0.51  0.22  CYT
KAD2_YEAST  0.63  0.67  0.57  0.24  0.50  0.00  0.49  0.22  MIT
ADP1_YEAST  0.80  0.88  0.36  0.39  0.50  0.00  0.56  0.33  ME1
ADR1_YEAST  0.53  0.54  0.43  0.10  0.50  0.00  0.57  0.32  NUC
AFG3_YEAST  0.51  0.51  0.43  0.87  0.50  0.00  0.52  0.22  MIT
AFR1_YEAST  0.38  0.61  0.61  0.12  0.50  0.00  0.53  0.47  CYT
RCS1_YEAST  0.33  0.55  0.51  0.43  0.50  0.00  0.51  0.22  NUC
AGA1_YEAST  0.78  0.74  0.42  0.26  0.50  0.00  0.43  0.22  ME1
AGA2_YEAST  0.74  0.67  0.47  0.34  0.50  0.00  0.42  0.22  EXC
YMX1_YEAST  0.72  0.61  0.45  0.30  0.50  0.00  0.54  0.25  MIT
SYAC_YEAST  0.40  0.45  0.57  0.18  0.50  0.00  0.56  0.26  CYT
DHA1_YEAST  0.59  0.53  0.43  0.44  0.50  0.00  0.50  0.22  MIT
DHA2_YEAST  0.57  0.53  0.53  0.34  0.50  0.00  0.53  0.22  MIT
ALG1_YEAST  0.86  0.68  0.39  0.24  0.50  0.00  0.54  0.22  ME2
ALG5_YEAST  0.86  0.74  0.51  0.40  0.50  0.00  0.55  0.22  ME2
GPT_YEAST   0.79  0.57  0.41  0.28  0.50  0.00  0.59  0.22  ME2
ALG8_YEAST  0.41  0.54  0.39  0.20  0.50  0.00  0.51  0.22  ME3
MAN1_YEAST  0.37  0.36  0.56  0.18  0.50  0.00  0.48  0.26  VAC
ANC1_YEAST  0.53  0.31  0.58  0.39  0.50  0.00  0.47  0.37  NUC
ANP1_YEAST  0.74  0.75  0.58  0.47  0.50  0.00  0.40  0.35  ME2
APE2_YEAST  0.49  0.39  0.52  0.29  0.50  0.00  0.48  0.22  EXC
APE3_YEAST  0.74  0.57  0.51  0.28  0.50  0.00  0.58  0.22  VAC
ALP1_YEAST  0.42  0.24  0.34  0.16  0.50  0.00  0.50  0.22  ME3
ADB2_YEAST  0.48  0.39  0.51  0.21  0.50  0.00  0.52  0.28  CYT
YHB9_YEAST  0.41  0.53  0.45  0.14  0.50  0.00  0.52  0.66  ME3
APN1_YEAST  0.45  0.46  0.55  0.43  0.50  0.00  0.55  0.38  NUC
ARD1_YEAST  0.56  0.48  0.58  0.27  0.50  0.00  0.51  0.22  CYT
ARF1_YEAST  0.64  0.59  0.56  0.23  0.50  0.00  0.46  0.22  CYT
ARF2_YEAST  0.64  0.56  0.56  0.22  0.50  0.00  0.45  0.22  CYT
ASSY_YEAST  0.66  0.62  0.49  0.10  0.50  0.00  0.49  0.22  CYT
OTC_YEAST   0.53  0.44  0.51  0.33  0.50  0.00  0.55  0.22  CYT
ARLY_YEAST  0.38  0.49  0.53  0.19  0.50  0.00  0.50  0.22  CYT
AR56_YEAST  0.45  0.58  0.48  0.67  0.50  0.00  0.52  0.22  MIT
ARGD_YEAST  0.43  0.35  0.52  0.52  0.50  0.00  0.54  0.22  MIT
ARG1_YEAST  0.37  0.32  0.47  0.18  0.50  0.00  0.45  0.25  NUC
